Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Age_cat
30,female,2,own,,little,7721,24,furniture/equipment,good,Young
35,male,2,own,quite rich,moderate,1410,14,business,good,Young
31,male,2,own,moderate,moderate,1449,6,business,good,Young
23,female,2,rent,little,rich,392,15,education,good,Student
28,male,1,rent,little,moderate,6260,18,car,good,Young
25,female,2,own,little,,7855,36,car,bad,Student
35,male,2,own,quite rich,little,1680,12,radio/TV,good,Young
47,male,2,own,,,3578,48,radio/TV,good,Adult
30,female,3,own,,little,7174,42,radio/TV,bad,Young
27,female,2,rent,,little,2132,10,furniture/equipment,good,Young
23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,Student
36,male,3,own,quite rich,moderate,2366,12,car,good,Adult
25,female,2,own,little,little,1835,21,radio/TV,bad,Student
41,female,3,rent,little,,3868,24,car,good,Adult
24,male,1,rent,little,,1768,12,furniture/equipment,good,Student
63,male,2,free,little,rich,781,10,car,good,Senior
27,female,2,rent,,moderate,1924,18,furniture/equipment,bad,Young
30,male,2,own,little,little,2121,12,car,good,Young
40,male,1,own,little,little,701,12,radio/TV,good,Adult
30,male,2,own,little,moderate,639,12,repairs,bad,Young
34,male,3,own,little,moderate,1860,12,car,good,Young
29,female,2,own,little,little,3499,12,car,bad,Young
24,female,2,own,,moderate,8487,48,car,good,Student
29,male,2,own,little,little,6887,36,education,bad,Young
27,male,1,own,little,,2708,15,furniture/equipment,good,Young
47,male,2,free,little,,1984,18,furniture/equipment,good,Adult
21,female,2,own,moderate,,10144,60,radio/TV,good,Student
38,female,2,own,,,1240,12,radio/TV,good,Adult
27,male,2,own,rich,,8613,27,car,good,Young
66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,Senior
35,male,2,own,,moderate,2728,15,radio/TV,good,Young
44,female,1,rent,little,rich,1881,12,radio/TV,good,Adult
27,male,0,own,rich,rich,709,6,car,good,Young
30,female,3,own,little,moderate,4795,36,radio/TV,good,Young
27,male,3,own,little,little,3416,27,radio/TV,good,Young
22,male,2,own,little,little,2462,18,furniture/equipment,bad,Student
23,female,2,own,little,,2288,21,furniture/equipment,good,Student
30,male,2,own,moderate,moderate,3566,48,business,good,Young
39,female,2,own,little,little,860,6,car,good,Adult
51,female,2,own,moderate,,682,12,car,good,Adult
28,male,2,own,little,little,5371,36,furniture/equipment,good,Young
46,male,2,own,rich,,1582,18,radio/TV,good,Adult
42,male,2,free,moderate,,1346,6,radio/TV,good,Adult
38,male,2,own,little,,1924,10,radio/TV,good,Adult
24,male,2,own,little,rich,5848,36,radio/TV,good,Student
29,female,2,rent,rich,moderate,7758,24,car,good,Young
36,male,3,rent,moderate,moderate,6967,24,business,good,Adult
20,female,2,rent,little,little,1282,12,furniture/equipment,bad,Student
48,male,2,own,moderate,little,1288,9,repairs,good,Adult
45,male,1,own,little,little,339,12,education,good,Adult
38,male,2,own,moderate,moderate,3512,24,car,good,Adult
34,male,1,own,,,1898,6,radio/TV,good,Young
36,male,2,own,moderate,,2872,24,radio/TV,good,Adult
30,female,2,own,little,,1055,18,car,good,Young
36,male,2,own,quite rich,,1262,15,domestic appliances,good,Adult
70,male,3,free,little,moderate,7308,10,car,good,Senior
36,male,2,own,quite rich,,909,36,car,good,Adult
32,male,2,own,quite rich,,2978,6,furniture/equipment,good,Young
33,female,2,own,little,little,1131,18,furniture/equipment,bad,Young
20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,Student
25,female,2,rent,little,,3972,24,furniture/equipment,good,Student
31,male,2,own,little,moderate,1935,24,business,bad,Young
33,male,2,rent,little,little,950,15,car,bad,Young
26,female,2,own,little,,763,12,furniture/equipment,good,Young
34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,Young
33,male,2,own,little,moderate,1414,8,radio/TV,good,Young
26,male,2,own,little,little,3414,21,education,bad,Young
53,female,3,own,,,7485,30,car,bad,Adult
42,male,2,own,little,little,2577,12,furniture/equipment,good,Adult
52,male,2,own,quite rich,little,338,6,radio/TV,good,Adult
31,male,3,rent,little,,1963,12,radio/TV,good,Young
65,male,2,own,little,little,571,21,car,good,Senior
28,male,2,own,little,,9572,36,business,bad,Young
30,male,3,own,little,moderate,4455,36,business,bad,Young
40,male,1,own,,little,1647,21,car,bad,Adult
50,male,2,own,rich,,3777,24,furniture/equipment,good,Adult
36,male,2,own,little,moderate,884,18,car,bad,Adult
31,male,2,own,little,,1360,15,radio/TV,good,Young
74,female,3,free,little,moderate,5129,9,car,bad,Senior
68,male,0,free,little,moderate,1175,16,car,good,Senior
20,male,2,own,moderate,little,674,12,radio/TV,bad,Student
33,female,2,own,little,moderate,3244,18,furniture/equipment,good,Young
54,male,3,own,rich,,4591,24,business,bad,Adult
34,male,1,free,moderate,moderate,3844,48,business,bad,Young
36,male,2,own,little,moderate,3915,27,business,bad,Adult
29,male,2,rent,little,,2108,6,radio/TV,good,Young
21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,Student
34,female,3,own,little,moderate,1501,9,education,bad,Young
28,female,2,own,little,,1382,6,radio/TV,good,Young
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,Young
36,male,2,free,,moderate,2760,24,car,good,Adult
40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,Adult
52,male,2,own,quite rich,,936,9,education,good,Adult
27,male,1,own,little,little,1168,12,car,good,Young
26,male,2,own,little,,5117,27,business,good,Young
21,male,2,rent,little,little,902,12,education,bad,Student
38,male,1,own,little,,1495,12,car,good,Adult
38,male,3,free,little,little,10623,30,car,good,Adult
43,male,2,own,little,,1935,12,furniture/equipment,good,Adult
26,male,2,own,little,moderate,1424,12,domestic appliances,good,Young
21,male,1,own,little,little,6568,24,business,good,Student
55,male,2,own,rich,,1413,12,car,good,Adult
33,male,2,own,,,3074,9,radio/TV,good,Young
45,female,1,own,,,3835,36,radio/TV,good,Adult
50,male,2,own,little,little,5293,27,business,bad,Adult
66,male,3,own,little,rich,1908,30,business,bad,Senior
51,male,2,own,,,3342,36,radio/TV,good,Adult
39,female,1,own,,moderate,932,6,education,good,Adult
31,male,2,own,little,little,3104,18,business,good,Young
23,male,2,own,little,rich,3913,36,radio/TV,good,Student
24,male,1,rent,little,little,3021,24,furniture/equipment,good,Student
64,female,2,own,little,,1364,10,car,good,Senior
26,male,1,own,little,moderate,625,12,radio/TV,good,Young
23,female,2,rent,,little,1200,12,education,good,Student
30,male,2,own,little,,707,12,radio/TV,good,Young
32,male,2,own,,,2978,24,business,good,Young
30,male,2,own,little,,4657,15,car,good,Young
27,male,2,own,little,,2613,36,repairs,good,Young
27,male,2,own,rich,moderate,10961,48,radio/TV,bad,Young
53,male,3,free,little,little,7865,12,furniture/equipment,bad,Adult
22,male,2,own,little,,1478,9,radio/TV,bad,Student
22,male,2,free,little,little,3149,24,furniture/equipment,good,Student
26,male,2,own,little,rich,4210,36,radio/TV,bad,Young
51,male,1,free,quite rich,,2507,9,car,good,Adult
35,male,2,own,moderate,,2141,12,radio/TV,good,Young
25,male,1,own,little,moderate,866,18,radio/TV,good,Student
42,male,1,own,little,,1544,4,radio/TV,good,Adult
30,male,3,own,little,little,1823,24,radio/TV,bad,Young
23,male,0,own,,moderate,14555,6,car,bad,Student
61,male,1,rent,moderate,moderate,2767,21,business,bad,Senior
35,female,2,own,little,,1291,12,radio/TV,good,Young
39,male,2,own,little,little,2522,30,radio/TV,good,Adult
29,female,2,own,,little,915,24,car,bad,Young
51,male,2,own,little,,1595,6,radio/TV,good,Adult
24,male,2,free,little,little,4605,48,car,bad,Student
27,female,2,own,little,,1185,12,business,good,Young
35,female,1,own,quite rich,,3447,12,education,good,Young
25,male,2,own,little,,1258,24,business,good,Student
52,male,2,own,little,,717,12,radio/TV,good,Adult
35,male,2,rent,moderate,,1204,6,car,good,Young
26,male,2,own,little,rich,1925,24,furniture/equipment,good,Young
22,female,2,rent,little,,433,18,radio/TV,bad,Student
39,female,1,own,rich,little,666,6,car,good,Adult
46,female,1,own,little,rich,2251,12,furniture/equipment,good,Adult
24,female,2,own,little,moderate,2150,30,car,bad,Student
35,male,2,own,moderate,,4151,24,furniture/equipment,good,Young
24,male,2,own,,moderate,2030,9,furniture/equipment,good,Student
27,male,1,own,,moderate,7418,60,radio/TV,good,Young
35,male,1,own,little,,2684,24,radio/TV,good,Young
29,male,2,free,little,little,2149,12,radio/TV,bad,Young
23,female,2,own,moderate,,3812,15,car,good,Student
57,female,1,own,moderate,,1154,11,radio/TV,good,Adult
27,male,2,own,little,little,1657,12,furniture/equipment,good,Young
55,female,2,own,little,little,1603,24,radio/TV,good,Adult
36,male,3,free,little,little,5302,18,car,good,Adult
57,female,1,free,little,,2748,12,education,good,Adult
32,male,1,own,little,,1231,10,car,good,Young
37,male,2,own,little,moderate,802,15,radio/TV,bad,Adult
36,male,2,own,,,6304,36,business,good,Adult
38,female,2,own,little,,1533,24,radio/TV,good,Adult
45,male,3,own,little,little,8978,14,car,bad,Adult
25,male,2,own,,,999,24,radio/TV,good,Student
32,male,2,own,,,2662,18,car,good,Young
37,female,2,rent,quite rich,,1402,12,furniture/equipment,good,Adult
36,male,3,free,,moderate,12169,48,car,good,Adult
28,male,2,own,little,moderate,3060,48,radio/TV,bad,Young
34,male,1,own,little,little,11998,30,repairs,bad,Young
32,male,2,own,little,,2697,9,radio/TV,good,Young
26,female,2,own,little,,2404,18,radio/TV,good,Young
49,male,1,own,,little,1262,12,furniture/equipment,good,Adult
32,female,2,own,little,,4611,6,furniture/equipment,bad,Young
29,male,3,rent,moderate,,1901,24,radio/TV,good,Young
23,male,2,rent,rich,,3368,15,car,good,Student
50,male,2,own,little,,1574,12,furniture/equipment,good,Adult
49,male,1,own,,rich,1445,18,radio/TV,good,Adult
63,male,2,own,,,1520,15,furniture/equipment,good,Senior
37,male,2,own,moderate,moderate,3878,24,car,good,Adult
35,female,1,own,little,little,10722,47,car,good,Young
26,male,2,own,little,little,4788,48,car,good,Young
31,male,3,free,moderate,moderate,7582,48,vacation/others,good,Young
49,female,2,own,little,moderate,1092,12,radio/TV,good,Adult
48,male,2,own,little,little,1024,24,radio/TV,bad,Adult
26,male,2,own,little,,1076,12,business,good,Young
28,male,3,rent,little,moderate,9398,36,car,bad,Young
44,female,3,free,little,little,6419,24,car,good,Adult
56,male,2,free,little,rich,4796,42,car,good,Adult
46,male,3,own,,,7629,48,business,good,Adult
26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,Young
20,female,2,rent,,,4675,12,car,good,Student
45,male,1,own,,,1287,10,car,good,Adult
43,male,2,own,little,,2515,18,furniture/equipment,good,Adult
32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,Young
54,female,0,own,little,,672,6,car,good,Adult
42,female,2,own,little,moderate,3804,36,radio/TV,bad,Adult
37,male,1,own,,rich,1344,24,car,bad,Adult
49,male,2,own,little,little,1038,10,car,good,Adult
44,male,2,free,quite rich,,10127,48,car,bad,Adult
33,male,2,own,rich,,1543,6,furniture/equipment,good,Young
24,female,1,rent,,,4811,30,car,good,Student
33,male,1,own,moderate,little,727,12,radio/TV,bad,Young
24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,Student
22,male,1,rent,little,moderate,276,9,car,good,Student
40,male,0,free,,moderate,5381,48,vacation/others,good,Adult
25,male,2,own,moderate,,5511,24,furniture/equipment,good,Student
26,female,2,own,little,rich,3749,24,furniture/equipment,good,Young
25,male,1,own,little,moderate,685,12,car,bad,Student
29,male,1,own,,rich,1494,4,car,good,Young
31,male,2,own,little,little,2746,36,furniture/equipment,bad,Young
38,male,1,own,little,little,708,12,furniture/equipment,good,Adult
48,female,1,own,,moderate,4351,24,furniture/equipment,good,Adult
32,male,2,own,little,,701,12,education,good,Young
27,female,1,own,little,little,3643,15,furniture/equipment,good,Young
28,male,3,own,little,moderate,4249,30,car,bad,Young
32,male,2,own,little,little,1938,24,radio/TV,bad,Young
34,male,3,free,little,little,2910,24,car,good,Young
28,male,2,own,rich,little,2659,18,furniture/equipment,good,Young
36,female,2,own,little,,1028,18,car,good,Adult
39,male,1,own,little,little,3398,8,car,good,Adult
49,male,2,rent,,,5801,12,furniture/equipment,good,Adult
34,female,2,own,rich,,1525,24,car,good,Young
31,male,2,own,little,rich,4473,36,radio/TV,good,Young
28,male,2,own,little,moderate,1068,6,radio/TV,good,Young
75,male,3,free,little,little,6615,24,car,good,Senior
30,female,2,own,moderate,,1864,18,education,bad,Young
24,female,3,own,moderate,moderate,7408,60,car,bad,Student
24,female,1,rent,moderate,,11590,48,car,bad,Student
23,male,2,rent,little,little,4110,24,furniture/equipment,bad,Student
44,male,3,rent,little,little,3384,6,furniture/equipment,bad,Adult
23,female,1,own,little,moderate,2101,13,radio/TV,good,Student
24,female,2,rent,,little,1275,15,domestic appliances,bad,Student
28,male,2,own,little,little,4169,24,furniture/equipment,good,Young
31,male,1,own,little,moderate,1521,10,furniture/equipment,good,Young
24,female,2,free,little,moderate,5743,24,education,good,Student
26,female,1,rent,little,little,3599,21,furniture/equipment,good,Young
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,Student
33,male,3,own,little,moderate,4439,18,business,good,Young
37,male,1,own,little,rich,3949,10,car,good,Adult
43,female,1,own,little,,1459,15,radio/TV,good,Adult
23,male,2,own,little,moderate,882,13,radio/TV,good,Student
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,Student
34,male,1,own,moderate,,1743,6,business,good,Young
32,male,2,free,rich,moderate,1136,9,education,bad,Young
23,female,2,rent,little,,1236,9,domestic appliances,good,Student
29,female,2,own,little,moderate,959,9,furniture/equipment,bad,Young
38,male,3,own,,,3229,18,car,good,Adult
28,male,2,rent,little,little,6199,12,radio/TV,bad,Young
46,male,2,free,quite rich,,727,10,education,good,Adult
23,male,1,own,little,moderate,1246,24,car,bad,Student
49,male,2,own,,,2331,12,radio/TV,good,Adult
26,male,3,own,little,,4463,36,radio/TV,bad,Young
28,male,2,own,little,,776,12,radio/TV,good,Young
23,female,2,rent,little,little,2406,30,furniture/equipment,bad,Student
61,male,2,free,,moderate,1239,18,education,good,Senior
37,male,3,own,,rich,3399,12,radio/TV,good,Adult
36,female,2,own,little,rich,2247,12,car,good,Adult
21,male,2,rent,little,,1766,6,furniture/equipment,good,Student
25,male,0,own,little,little,2473,18,furniture/equipment,bad,Student
36,male,2,own,little,,1542,12,business,good,Adult
27,male,2,own,little,,3850,18,car,good,Young
22,female,2,rent,little,little,3650,18,furniture/equipment,good,Student
42,male,2,own,little,little,3446,36,furniture/equipment,bad,Adult
40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,Adult
36,male,2,own,,,3079,36,car,good,Adult
33,male,2,own,little,,6070,18,radio/TV,good,Young
23,female,2,rent,little,,2146,10,furniture/equipment,good,Student
63,male,3,free,,,13756,60,car,good,Senior
60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,Adult
37,female,2,rent,little,little,7685,48,business,bad,Adult
34,male,2,own,little,,2320,18,radio/TV,good,Young
36,male,2,free,,,846,7,radio/TV,good,Adult
57,male,3,free,little,moderate,14318,36,car,bad,Adult
52,female,1,own,moderate,,362,6,car,good,Adult
39,male,2,own,,little,2212,20,furniture/equipment,good,Adult
38,female,3,free,little,moderate,12976,18,car,bad,Adult
25,female,2,rent,,,1283,22,car,good,Student
26,male,2,own,little,rich,1330,12,car,good,Young
26,male,1,own,moderate,,4272,30,business,good,Young
25,female,2,own,little,,2238,18,radio/TV,good,Student
21,female,2,rent,,,1126,18,radio/TV,good,Student
40,male,3,own,little,moderate,7374,18,furniture/equipment,good,Adult
27,male,2,own,quite rich,moderate,2326,15,business,good,Young
27,female,2,own,little,,1449,9,business,good,Young
30,male,3,own,little,,1820,18,car,good,Young
19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,Student
39,male,3,free,little,little,3249,36,car,good,Adult
31,female,2,own,little,little,1957,6,radio/TV,good,Young
31,male,3,own,little,,2406,9,furniture/equipment,good,Young
32,male,2,rent,moderate,moderate,11760,39,education,good,Young
55,female,3,free,little,little,2578,12,furniture/equipment,good,Adult
46,male,2,own,little,little,2348,36,furniture/equipment,good,Adult
46,male,2,rent,little,moderate,1223,12,car,bad,Adult
43,female,1,own,rich,,1516,24,radio/TV,good,Adult
39,male,2,own,little,,1473,18,radio/TV,good,Adult
28,male,2,own,,moderate,1887,18,business,good,Young
27,male,2,own,little,,8648,24,business,bad,Young
27,male,1,own,little,,802,14,car,good,Young
43,male,2,own,,moderate,2899,18,car,good,Adult
22,male,2,own,little,moderate,2039,24,radio/TV,bad,Student
43,male,2,own,,,2197,24,car,good,Adult
27,male,2,own,little,little,1053,15,radio/TV,good,Young
26,male,3,own,quite rich,,3235,24,radio/TV,good,Young
28,male,2,own,quite rich,rich,939,12,car,bad,Young
20,female,2,own,little,moderate,1967,24,radio/TV,good,Student
35,male,3,own,little,,7253,33,car,good,Young
42,male,3,own,little,,2292,12,business,bad,Adult
40,male,1,rent,quite rich,,1597,10,car,good,Adult
35,female,2,own,,little,1381,24,car,bad,Young
35,male,2,own,little,,5842,36,car,good,Young
33,male,1,own,little,little,2579,12,car,bad,Young
23,female,2,rent,,little,8471,18,education,good,Student
31,female,3,own,quite rich,,2782,21,car,good,Young
33,female,2,own,,moderate,1042,18,car,bad,Young
20,female,2,rent,rich,,3186,15,car,good,Student
30,male,2,own,,moderate,2028,12,car,good,Young
47,male,1,own,little,moderate,958,12,car,good,Adult
34,male,3,own,moderate,,1591,21,furniture/equipment,good,Young
25,female,2,own,,moderate,2762,12,furniture/equipment,bad,Student
21,male,2,rent,little,moderate,2779,18,car,good,Student
29,male,2,own,little,,2743,28,radio/TV,good,Young
46,male,2,own,rich,,1149,18,radio/TV,good,Adult
20,male,2,own,little,,1313,9,furniture/equipment,good,Student
55,female,0,free,little,little,1190,18,repairs,bad,Adult
74,male,1,own,little,,3448,5,business,good,Senior
29,male,3,own,little,moderate,11328,24,vacation/others,bad,Young
36,male,3,free,little,little,1872,6,furniture/equipment,good,Adult
33,male,2,own,little,,2058,24,repairs,good,Young
25,male,2,own,little,little,2136,9,furniture/equipment,good,Student
25,male,2,own,,moderate,1484,12,radio/TV,bad,Student
23,male,1,rent,quite rich,,660,6,repairs,good,Student
37,female,2,own,rich,,1287,24,car,good,Adult
65,male,0,own,little,little,3394,42,repairs,good,Senior
26,female,0,own,little,rich,609,12,business,bad,Young
39,male,3,own,little,,1884,12,car,good,Adult
30,female,2,own,little,little,1620,12,furniture/equipment,good,Young
29,male,2,own,little,moderate,2629,20,vacation/others,good,Young
41,male,1,own,little,,719,12,education,bad,Adult
30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,Young
41,female,1,rent,,,1244,9,education,good,Adult
34,female,2,own,little,little,1842,36,car,bad,Young
35,male,2,own,little,moderate,2576,7,radio/TV,good,Young
55,female,3,own,,rich,1424,12,furniture/equipment,good,Adult
61,male,2,own,rich,moderate,1512,15,repairs,bad,Senior
30,male,3,own,,,11054,36,car,good,Young
29,female,2,own,little,,518,6,radio/TV,good,Young
34,male,2,own,little,,2759,12,furniture/equipment,good,Young
35,male,3,own,little,,2670,24,car,good,Young
31,male,2,own,little,little,4817,24,car,bad,Young
29,female,3,own,little,,2679,24,car,good,Young
36,male,2,rent,little,little,3905,11,car,good,Adult
35,male,2,free,little,little,3386,12,car,bad,Young
27,female,2,own,little,little,343,6,domestic appliances,good,Young
32,male,2,own,little,,4594,18,radio/TV,good,Young
37,male,2,own,little,little,3620,36,furniture/equipment,good,Adult
36,male,2,own,little,little,1721,15,car,good,Adult
34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,Young
38,male,2,own,,moderate,754,12,education,good,Adult
34,male,2,own,little,,1950,18,business,good,Young
63,male,2,own,little,little,2924,24,car,good,Senior
29,female,1,rent,little,little,1659,24,radio/TV,bad,Young
32,male,2,own,,,7238,48,radio/TV,good,Young
26,female,2,own,little,,2764,33,business,good,Young
35,male,1,own,little,,4679,24,car,good,Young
22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,Student
23,female,2,own,little,little,448,6,education,bad,Student
28,male,1,own,little,little,654,9,car,bad,Young
36,male,3,own,,,1238,6,education,good,Adult
33,male,2,own,little,moderate,1245,18,radio/TV,bad,Young
26,female,2,rent,little,little,3114,18,furniture/equipment,bad,Young
24,male,2,own,quite rich,,2569,39,car,good,Student
25,male,2,own,little,rich,5152,24,radio/TV,good,Student
39,male,1,own,moderate,moderate,1037,12,business,good,Adult
44,male,2,own,little,little,1478,15,furniture/equipment,good,Adult
23,female,1,own,little,moderate,3573,12,radio/TV,good,Student
26,male,2,own,little,moderate,1201,24,car,good,Young
57,female,2,rent,rich,little,3622,30,furniture/equipment,good,Adult
30,female,2,own,rich,,960,15,furniture/equipment,good,Young
44,male,2,own,quite rich,,1163,12,car,good,Adult
47,male,3,own,little,moderate,1209,6,car,bad,Adult
52,male,2,own,little,,3077,12,radio/TV,good,Adult
62,female,2,free,little,,3757,24,car,good,Senior
35,male,1,rent,moderate,,1418,10,car,good,Young
26,male,2,rent,little,,3518,6,car,good,Young
26,male,2,own,little,,1934,12,radio/TV,good,Young
42,female,3,free,little,moderate,8318,27,business,bad,Adult
27,female,2,own,moderate,,1237,6,radio/TV,good,Young
38,male,2,own,,moderate,368,6,radio/TV,good,Adult
39,male,1,rent,little,little,2122,12,car,good,Adult
20,male,2,own,,little,2996,24,furniture/equipment,bad,Student
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,Young
40,male,2,own,little,,1585,24,furniture/equipment,good,Adult
32,male,1,own,little,moderate,1301,18,radio/TV,good,Young
28,male,2,own,moderate,rich,1323,6,car,good,Young
27,female,2,own,little,little,3123,24,car,bad,Young
